epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.93346,2.11126,3.67192,2.2672,0.00508,0.85758,0.28789,0.09427,1.66733,3.26288,2.2732,0.00018577,0.00018577,0.00018577
2,11.8585,1.69588,3.23578,1.96287,0.00562,0.92525,0.37801,0.15505,1.46153,3.12264,1.91421,0.000378191,0.000378191,0.000378191
3,15.6259,1.61833,2.93058,1.86972,1,0.09337,0.38529,0.14827,1.76368,3.12462,2.24599,0.000562689,0.000562689,0.000562689
4,19.2548,1.66928,2.71962,1.88833,0.34997,0.06667,0.22465,0.12233,1.8484,3.21434,2.48757,0.000739265,0.000739265,0.000739265
5,24.0716,1.68792,2.76348,1.91161,0.67622,0.22296,0.27847,0.13809,2.05141,4.15236,3.15261,0.000907918,0.000907918,0.000907918
6,28.0814,1.73672,2.58495,1.93692,0.59239,0.19443,0.2171,0.082,2.0675,3.31572,3.54405,0.00106865,0.00106865,0.00106865
7,31.5914,1.71783,2.60384,1.91442,0.63958,0.29952,0.30207,0.13571,1.99002,3.73754,2.8577,0.00122146,0.00122146,0.00122146
8,35.4406,1.72152,2.50709,1.90207,0.5996,0.24058,0.24385,0.12206,2.5805,3.38936,3.15972,0.00123094,0.00123094,0.00123094
9,40.0993,1.78841,2.5184,1.97057,0.23654,0.34203,0.30203,0.14674,2.37353,4.63942,3.2457,0.00120265,0.00120265,0.00120265
10,43.7715,1.69972,2.42996,1.93327,0.2823,0.4414,0.35775,0.17749,2.06105,4.58786,2.61583,0.00117435,0.00117435,0.00117435
11,47.3674,1.65547,2.38014,1.8947,0.67645,0.40348,0.38398,0.1597,2.08795,7.18357,2.87495,0.00114606,0.00114606,0.00114606
12,52.393,1.67495,2.28922,1.83447,0.64255,0.34541,0.33126,0.14795,2.22404,5.45454,2.92691,0.00111776,0.00111776,0.00111776
13,56.4472,1.70502,2.34043,1.92233,0.41713,0.30643,0.3551,0.18197,2.08329,3.40233,2.70764,0.00108947,0.00108947,0.00108947
14,60.0568,1.65122,2.13811,1.80768,0.4882,0.42016,0.42026,0.20398,1.82161,2.90841,2.43261,0.00106118,0.00106118,0.00106118
15,64.1207,1.69396,2.26199,1.83294,0.6959,0.38033,0.42533,0.21077,1.98762,3.41806,2.54476,0.00103288,0.00103288,0.00103288
16,68.6676,1.61216,2.09846,1.78559,0.41037,0.49237,0.45743,0.20508,2.10439,2.48256,2.603,0.00100459,0.00100459,0.00100459
17,72.5098,1.61078,2.19969,1.8227,0.53626,0.5332,0.50834,0.23628,2.18471,2.17239,2.63256,0.000976293,0.000976293,0.000976293
18,76.542,1.61157,2.01042,1.83815,0.58269,0.50108,0.48437,0.22868,2.00088,2.14612,2.41211,0.000947999,0.000947999,0.000947999
19,81.7055,1.6473,2.09505,1.83829,0.63122,0.53026,0.56351,0.27148,1.80801,2.24245,2.2345,0.000919704,0.000919704,0.000919704
20,85.5622,1.54445,2.0433,1.74718,0.53179,0.57273,0.533,0.27094,1.87299,1.88489,2.2907,0.00089141,0.00089141,0.00089141
